date,currency,usd_rate,source
2023-04-24,USD,1.000000,ecb_frankfurter
2023-04-24,GBP,1.243688,ecb_frankfurter
2023-04-24,EUR,1.100195,ecb_frankfurter
2023-04-24,CAD,0.738116,ecb_frankfurter
2023-04-25,USD,1.000000,ecb_frankfurter
2023-04-25,GBP,1.243379,ecb_frankfurter
2023-04-25,EUR,1.102196,ecb_frankfurter
2023-04-25,CAD,0.735565,ecb_frankfurter
2023-04-26,USD,1.000000,ecb_frankfurter
2023-04-26,GBP,1.246494,ecb_frankfurter
2023-04-26,EUR,1.103899,ecb_frankfurter
2023-04-26,CAD,0.734214,ecb_frankfurter
2023-04-27,USD,1.000000,ecb_frankfurter
2023-04-27,GBP,1.248704,ecb_frankfurter
2023-04-27,EUR,1.104204,ecb_frankfurter
2023-04-27,CAD,0.734107,ecb_frankfurter
2023-04-28,USD,1.000000,ecb_frankfurter
2023-04-28,GBP,1.247132,ecb_frankfurter
2023-04-28,EUR,1.098105,ecb_frankfurter
2023-04-28,CAD,0.732977,ecb_frankfurter
2023-04-29,USD,1.000000,ecb_frankfurter
2023-04-29,GBP,1.247132,ecb_frankfurter
2023-04-29,EUR,1.098105,ecb_frankfurter
2023-04-29,CAD,0.732977,ecb_frankfurter
2023-04-30,USD,1.000000,ecb_frankfurter
2023-04-30,GBP,1.247132,ecb_frankfurter
2023-04-30,EUR,1.098105,ecb_frankfurter
2023-04-30,CAD,0.732977,ecb_frankfurter
2023-05-01,USD,1.000000,ecb_frankfurter
2023-05-01,GBP,1.247132,ecb_frankfurter
2023-05-01,EUR,1.098105,ecb_frankfurter
2023-05-01,CAD,0.732977,ecb_frankfurter
2023-05-02,USD,1.000000,ecb_frankfurter
2023-05-02,GBP,1.247894,ecb_frankfurter
2023-05-02,EUR,1.096503,ecb_frankfurter
2023-05-02,CAD,0.736648,ecb_frankfurter
2023-05-03,USD,1.000000,ecb_frankfurter
2023-05-03,GBP,1.251126,ecb_frankfurter
2023-05-03,EUR,1.104301,ecb_frankfurter
2023-05-03,CAD,0.733999,ecb_frankfurter
2023-05-04,USD,1.000000,ecb_frankfurter
2023-05-04,GBP,1.258194,ecb_frankfurter
2023-05-04,EUR,1.107395,ecb_frankfurter
2023-05-04,CAD,0.734754,ecb_frankfurter
2023-05-05,USD,1.000000,ecb_frankfurter
2023-05-05,GBP,1.260494,ecb_frankfurter
2023-05-05,EUR,1.101394,ecb_frankfurter
2023-05-05,CAD,0.741180,ecb_frankfurter
2023-05-06,USD,1.000000,ecb_frankfurter
2023-05-06,GBP,1.260494,ecb_frankfurter
2023-05-06,EUR,1.101394,ecb_frankfurter
2023-05-06,CAD,0.741180,ecb_frankfurter
2023-05-07,USD,1.000000,ecb_frankfurter
2023-05-07,GBP,1.260494,ecb_frankfurter
2023-05-07,EUR,1.101394,ecb_frankfurter
2023-05-07,CAD,0.741180,ecb_frankfurter
2023-05-08,USD,1.000000,ecb_frankfurter
2023-05-08,GBP,1.265310,ecb_frankfurter
2023-05-08,EUR,1.103704,ecb_frankfurter
2023-05-08,CAD,0.750300,ecb_frankfurter
2023-05-09,USD,1.000000,ecb_frankfurter
2023-05-09,GBP,1.259795,ecb_frankfurter
2023-05-09,EUR,1.095902,ecb_frankfurter
2023-05-09,CAD,0.746603,ecb_frankfurter
2023-05-10,USD,1.000000,ecb_frankfurter
2023-05-10,GBP,1.261336,ecb_frankfurter
2023-05-10,EUR,1.095002,ecb_frankfurter
2023-05-10,CAD,0.747105,ecb_frankfurter
2023-05-11,USD,1.000000,ecb_frankfurter
2023-05-11,GBP,1.259287,ecb_frankfurter
2023-05-11,EUR,1.093004,ecb_frankfurter
2023-05-11,CAD,0.744934,ecb_frankfurter
2023-05-12,USD,1.000000,ecb_frankfurter
2023-05-12,GBP,1.251674,ecb_frankfurter
2023-05-12,EUR,1.089194,ecb_frankfurter
2023-05-12,CAD,0.740850,ecb_frankfurter
2023-05-13,USD,1.000000,ecb_frankfurter
2023-05-13,GBP,1.251674,ecb_frankfurter
2023-05-13,EUR,1.089194,ecb_frankfurter
